accuracy,precision,recall,f1_score,TP,TN,FP,FN,dataset,error,dynamic_C,dynamic_weight
0.4880952380952381,0.4307692307692308,0.8235294117647058,0.5656565656565656,28,13,37,6,dataset_810_pbc.csv,0,0,0
0.44047619047619047,0.41333333333333333,0.9117647058823529,0.5688073394495412,31,6,44,3,dataset_810_pbc.csv,0,0,1
0.6309523809523809,0.5365853658536586,0.6470588235294118,0.5866666666666668,22,31,19,12,dataset_810_pbc.csv,0,1,0
0.6428571428571429,0.5454545454545454,0.7058823529411765,0.6153846153846153,24,30,20,10,dataset_810_pbc.csv,0,1,1
0.5952380952380952,0.5,0.7941176470588235,0.6136363636363636,27,23,27,7,dataset_810_pbc.csv,1,0,0
0.5119047619047619,0.4461538461538462,0.8529411764705882,0.5858585858585859,29,14,36,5,dataset_810_pbc.csv,1,0,1
0.6666666666666666,0.59375,0.5588235294117647,0.5757575757575757,19,37,13,15,dataset_810_pbc.csv,1,1,0
0.5357142857142857,0.4576271186440678,0.7941176470588235,0.5806451612903226,27,18,32,7,dataset_810_pbc.csv,1,1,1
0.6428571428571429,0.55,0.6470588235294118,0.5945945945945946,22,32,18,12,dataset_810_pbc.csv,2,0,0
0.6071428571428571,0.5102040816326531,0.7352941176470589,0.6024096385542169,25,26,24,9,dataset_810_pbc.csv,2,0,1
0.6666666666666666,0.59375,0.5588235294117647,0.5757575757575757,19,37,13,15,dataset_810_pbc.csv,2,1,0
0.6547619047619048,0.5675675675675675,0.6176470588235294,0.5915492957746479,21,34,16,13,dataset_810_pbc.csv,2,1,1
0.5952380952380952,0.5,0.7352941176470589,0.5952380952380952,25,25,25,9,dataset_810_pbc.csv,3,0,0
0.6547619047619048,0.5581395348837209,0.7058823529411765,0.6233766233766234,24,31,19,10,dataset_810_pbc.csv,3,0,1
0.6428571428571429,0.5476190476190477,0.6764705882352942,0.605263157894737,23,31,19,11,dataset_810_pbc.csv,3,1,0
0.5952380952380952,0.5,0.7941176470588235,0.6136363636363636,27,23,27,7,dataset_810_pbc.csv,3,1,1
